network_number,name,author,Primary_type, Specialized_aquatic_type,number_of_nodes,is_connected,year_published,decade_published,Ecopath
211,Burntbridge_Lake_,Havens_1992,Aquatic,Lake,53,TRUE,1992,,Not_Ecopath_model
212,Cascade_Lake_,Havens_1992,Aquatic,Lake,35,TRUE,1992,,Not_Ecopath_model
213,Chub_Lake_,Havens_1992,Aquatic,Lake,36,TRUE,1992,,Not_Ecopath_model
214,Connera_Lake_,Havens_1992,Aquatic,Lake,65,TRUE,1992,,Not_Ecopath_model
215,Constable_Lake_,Havens_1992,Aquatic,Lake,30,TRUE,1992,,Not_Ecopath_model
216,Emerald_Lake_,Havens_1992,Aquatic,Lake,22,TRUE,1992,,Not_Ecopath_model
217,Falls_Lake_,Havens_1992,Aquatic,Lake,39,TRUE,1992,,Not_Ecopath_model
218,Fawn_Lake_,Havens_1992,Aquatic,Lake,32,TRUE,1992,,Not_Ecopath_model
219,Federation_Lake_,Havens_1992,Aquatic,Lake,22,TRUE,1992,,Not_Ecopath_model
220,Goose_Lake_,Havens_1992,Aquatic,Lake,40,TRUE,1992,,Not_Ecopath_model
221,Grass_Lake_,Havens_1992,Aquatic,Lake,44,TRUE,1992,,Not_Ecopath_model
222,Gull_Lake_,Havens_1992,Aquatic,Lake,45,TRUE,1992,,Not_Ecopath_model
223,Hoel_Lake_,Havens_1992,Aquatic,Lake,72,TRUE,1992,,Not_Ecopath_model
224,Horseshoe_Lake_,Havens_1992,Aquatic,Lake,49,TRUE,1992,,Not_Ecopath_model
225,Little_Rainbow_Lake_,Havens_1992,Aquatic,Lake,52,TRUE,1992,,Not_Ecopath_model
226,Long_Lake_,Havens_1992,Aquatic,Lake,65,TRUE,1992,,Not_Ecopath_model
227,Loon_Lake_,Havens_1992,Aquatic,Lake,35,TRUE,1992,,Not_Ecopath_model
228,Lost_Lake_East_,Havens_1992,Aquatic,Lake,41,TRUE,1992,,Not_Ecopath_model
229,Lost_Lake_,Havens_1992,Aquatic,Lake,31,TRUE,1992,,Not_Ecopath_model
230,Lower_Sister_Lake_,Havens_1992,Aquatic,Lake,37,TRUE,1992,,Not_Ecopath_model
231,Oswego_Lake_,Havens_1992,Aquatic,Lake,33,TRUE,1992,,Not_Ecopath_model
232,Rat_Lake_,Havens_1992,Aquatic,Lake,50,TRUE,1992,,Not_Ecopath_model
233,Razorback_Lake_,Havens_1992,Aquatic,Lake,42,TRUE,1992,,Not_Ecopath_model
234,Russian_Lake_,Havens_1992,Aquatic,Lake,24,TRUE,1992,,Not_Ecopath_model
235,Safford_Lake_,Havens_1992,Aquatic,Lake,44,TRUE,1992,,Not_Ecopath_model
236,Sand_Lake_,Havens_1992,Aquatic,Lake,29,TRUE,1992,,Not_Ecopath_model
237,Squaw_Lake_,Havens_1992,Aquatic,Lake,41,TRUE,1992,,Not_Ecopath_model
238,Stink_Lake_,Havens_1992,Aquatic,Lake,53,TRUE,1992,,Not_Ecopath_model
239,Twelfth_Tee_Lake_,Havens_1992,Aquatic,Lake,31,TRUE,1992,,Not_Ecopath_model
240,Whipple_Lake_,Havens_1992,Aquatic,Lake,32,TRUE,1992,,Not_Ecopath_model
241,Buck_Pond_,Havens_1992,Aquatic and terrestrial,,41,TRUE,1992,,Not_Ecopath_model
242,Chub_Pond_,Havens_1992,Aquatic and terrestrial,,54,TRUE,1992,,Not_Ecopath_model
243,Helldiver_Pond_,Havens_1992,Aquatic and terrestrial,,41,TRUE,1992,,Not_Ecopath_model
244,High_Pond_,Havens_1992,Aquatic and terrestrial,,24,TRUE,1992,,Not_Ecopath_model
245,Afon_Hafren_2005_,Layer_et_al_2010,Aquatic,Stream,22,TRUE,2010,,Not_Ecopath_model
246,Allt_a_Mharcaidh_,Layer_et_al_2010,Aquatic,Stream,37,TRUE,2010,,Not_Ecopath_model
247,Broadstone_Stream_,Layer_et_al_2010,Aquatic,Stream,23,TRUE,2010,,Not_Ecopath_model
248,Dargall_Lane_,Layer_et_al_2010,Aquatic,Stream,20,TRUE,2010,,Not_Ecopath_model
249,Duddon_Pike_Beck_,Layer_et_al_2010,Aquatic,Stream,31,TRUE,2010,,Not_Ecopath_model
250,Hardknott_Gill_,Layer_et_al_2010,Aquatic,Stream,41,TRUE,2010,,Not_Ecopath_model
251,Mill_Stream_,Layer_et_al_2010,Aquatic,Stream,81,TRUE,2010,,Not_Ecopath_model
252,Mosendale_Beck_,Layer_et_al_2010,Aquatic,Stream,21,TRUE,2010,,Not_Ecopath_model
253,Old_Lodge_,Layer_et_al_2010,Aquatic,Stream,21,TRUE,2010,,Not_Ecopath_model
254,Alert_,Legagneux_et_al_2014,Terrestrial,,16,TRUE,2014,,Not_Ecopath_model
255,Bylot_,Legagneux_et_al_2014,Terrestrial,,16,TRUE,2014,,Not_Ecopath_model
256,Herschel_,Legagneux_et_al_2014,Terrestrial,,23,TRUE,2014,,Not_Ecopath_model
257,Nenetsky_,Legagneux_et_al_2014,Terrestrial,,24,TRUE,2014,,Not_Ecopath_model
