"Ictalurus_nebulosus" "benthic_detritus"
"copepod_nauplii" "Mesocyclops_edax"
"Mesocyclops_edax" "Leptodora_kindtii"
"Mesocyclops_edax" "Peridinium_wisconsinense"
"Keratella_cochlearis" "Epishura_lacustris"
"Keratella_serrulata" "Epishura_lacustris"
"Keratella_taurocephala" "Epishura_lacustris"
"Polyarthra_remata" "Epishura_lacustris"
"Conochiloides_unicornis" "Epishura_lacustris"
"Gastropus_stylifer" "Epishura_lacustris"
"Polyarthra_euryptera" "Epishura_lacustris"
"Bosmina_longirostris" "Epishura_lacustris"
"Conochiloides_dossuarius" "Epishura_lacustris"
"Keratella_crassa" "Epishura_lacustris"
"Trichotria_tetractis" "Epishura_lacustris"
"Ceriodaphnia_quadrangula" "Epishura_lacustris"
"Daphnia_ambigua" "Epishura_lacustris"
"Daphnia_parvula" "Epishura_lacustris"
"Colletheca_mutabilis" "Epishura_lacustris"
"copepod_nauplii" "Epishura_lacustris"
"Epishura_lacustris" "Peridinium_wisconsinense"
"Keratella_cochlearis" "Asplanchna_sp."
"Keratella_serrulata" "Asplanchna_sp."
"Keratella_taurocephala" "Asplanchna_sp."
"Polyarthra_remata" "Asplanchna_sp."
"Conochiloides_unicornis" "Asplanchna_sp."
"Gastropus_stylifer" "Asplanchna_sp."
"Polyarthra_euryptera" "Asplanchna_sp."
"Conochiloides_dossuarius" "Asplanchna_sp."
"Keratella_crassa" "Asplanchna_sp."
"Trichotria_tetractis" "Asplanchna_sp."
"Colletheca_mutabilis" "Asplanchna_sp."
"Asplanchna_sp." "Peridinium_wisconsinense"
"Keratella_cochlearis" "Leptodora_kindtii"
"Keratella_serrulata" "Leptodora_kindtii"
"Keratella_taurocephala" "Leptodora_kindtii"
"Holopedium_gibberum" "Leptodora_kindtii"
"Polyarthra_remata" "Leptodora_kindtii"
"Conochiloides_unicornis" "Leptodora_kindtii"
"Gastropus_stylifer" "Leptodora_kindtii"
"Polyarthra_euryptera" "Leptodora_kindtii"
"Bosmina_longirostris" "Leptodora_kindtii"
"Conochiloides_dossuarius" "Leptodora_kindtii"
"Keratella_crassa" "Leptodora_kindtii"
"Trichotria_tetractis" "Leptodora_kindtii"
"Ceriodaphnia_quadrangula" "Leptodora_kindtii"
"Daphnia_ambigua" "Leptodora_kindtii"
"Daphnia_parvula" "Leptodora_kindtii"
"Colletheca_mutabilis" "Leptodora_kindtii"
"Diaphanosoma_birgei" "Leptodora_kindtii"
"copepod_nauplii" "Leptodora_kindtii"
"Leptodora_kindtii" "Peridinium_wisconsinense"
"Diaptomus_sicilis" "Notemigonus_crysoleucas"
"Diaptomus_minutus" "Notemigonus_crysoleucas"
"Keratella_cochlearis" "Notemigonus_crysoleucas"
"Keratella_serrulata" "Notemigonus_crysoleucas"
"Keratella_taurocephala" "Notemigonus_crysoleucas"
"Holopedium_gibberum" "Notemigonus_crysoleucas"
"Polyarthra_remata" "Notemigonus_crysoleucas"
"Conochiloides_unicornis" "Notemigonus_crysoleucas"
"Gastropus_stylifer" "Notemigonus_crysoleucas"
"Polyarthra_euryptera" "Notemigonus_crysoleucas"
"Bosmina_longirostris" "Notemigonus_crysoleucas"
"Conochiloides_dossuarius" "Notemigonus_crysoleucas"
"Keratella_crassa" "Notemigonus_crysoleucas"
"Trichotria_tetractis" "Notemigonus_crysoleucas"
"Ceriodaphnia_quadrangula" "Notemigonus_crysoleucas"
